annotation_id,source_id,line_number,tag,keyword,value
1,1,6,begin,@begin,evolve_csv
2,1,6,desc,@desc,Workflow for simple experiments of CSV version evolution when writing into one csv file multiple times.
3,1,7,in,@in,input_csv_file
4,1,7,desc,@desc,input CSV file before any updates
5,1,8,uri,@uri,file:original_data.csv
6,1,9,out,@out,output_csv_file
7,1,9,desc,@desc,output CSV file
8,1,10,uri,@uri,file:updated_data.csv
9,1,11,out,@out,evolve_log
10,1,11,desc,@desc,log file for evolving CSV file
11,1,12,uri,@uri,file:evolve_log.txt
12,1,24,begin,@begin,initialize_run
13,1,24,desc,@desc,Create the run log file
14,1,25,out,@out,evolve_log
15,1,25,uri,@uri,file:evolve_log.txt
16,1,26,out,@out,log_file_name
17,1,30,end,@end,initialize_run
18,1,35,begin,@begin,read_num
19,1,35,desc,@desc,Read number from input file into variable 'num'
20,1,36,in,@in,input_csv_file
21,1,36,uri,@uri,file:original_data.csv
22,1,37,in,@in,log_file_name
23,1,38,out,@out,num_old
24,1,38,as,@as,num
25,1,39,desc,@desc,number before updating
26,1,54,end,@end,read_num
27,1,58,begin,@begin,update_num
28,1,58,desc,@desc,Update variable 'num' by num += 1
29,1,59,in,@in,num_old
30,1,59,as,@as,num
31,1,60,out,@out,output_csv_file
32,1,60,uri,@uri,file:updated_data.csv
33,1,61,desc,@desc,output CSV file
34,1,62,out,@out,evolve_log
35,1,62,uri,@uri,file:evolve_log.txt
36,1,63,desc,@desc,log file for evolving CSV file
37,1,64,log,@log,"{timestamp} The {iteration_count}th update: num is {num_old}, now is {num_new}."
38,1,65,log,@log,Total iteration times: {iteration_count}.
39,1,76,end,@end,update_num
40,1,80,end,@end,evolve_csv
41,1,84,begin,@begin,timestamp
42,1,85,param,@param,message
43,1,85,desc,@desc,the input of the defined function
44,1,86,return,@return,timestamp_message
45,1,95,end,@end,timestamp
